example_response_1523.txt
<example>a colander</example>  
<example>a lattice fence</example>  
<example>a cheese grater</example>  
<example>a perforated metal sheet</example>  

1 <anti_example>a brick wall</anti_example>  
2 <anti_example>a solid wooden door</anti_example>  
3 <anti_example>a glass window</anti_example>  
4 <anti_example>a ceramic mug</anti_example>  
5 <anti_example>a rubber tire</anti_example>  
6 <anti_example>a plastic bottle</anti_example>  
7 <anti_example>a metal spoon</anti_example>  
8 <anti_example>a concrete block</anti_example>  
9 <anti_example>a leather belt</anti_example>  
10 <anti_example>a paper cup</anti_example>  
11 <anti_example>a wooden chair</anti_example>  
12 <anti_example>a steel beam</anti_example>  
13 <anti_example>a cotton shirt</anti_example>  
14 <anti_example>a glass vase</anti_example>  
15 <anti_example>a rubber ball</anti_example>  
16 <anti_example>a plastic toy</anti_example>  
17 <anti_example>a metal key</anti_example>  
18 <anti_example>a ceramic plate</anti_example>  
19 <anti_example>a wooden table</anti_example>  
20 <anti_example>a concrete sidewalk</anti_example>
