example_response_1850.txt
<example>obsidian</example>  
<example>basalt fiber</example>  
<example>pumice stone</example>  
<example>volcanic clay</example>  

1 <anti_example>marble</anti_example>  
2 <anti_example>granite</anti_example>  
3 <anti_example>sandstone</anti_example>  
4 <anti_example>limestone</anti_example>  
5 <anti_example>jade</anti_example>  
6 <anti_example>quartz</anti_example>  
7 <anti_example>slate</anti_example>  
8 <anti_example>soapstone</anti_example>  
9 <anti_example>alabaster</anti_example>  
10 <anti_example>feldspar</anti_example>  
11 <anti_example>chalk</anti_example>  
12 <anti_example>shale</anti_example>  
13 <anti_example>travertine</anti_example>  
14 <anti_example>onyx</anti_example>  
15 <anti_example>gneiss</anti_example>  
16 <anti_example>schist</anti_example>  
17 <anti_example>dolomite</anti_example>  
18 <anti_example>serpentine</anti_example>  
19 <anti_example>mica</anti_example>  
20 <anti_example>talc</anti_example>
