example_response_1880.txt
<example>Ningyo</example>  
<example>Selkie</example>  
<example>Mami Wata</example>  
<example>Kelpie</example>  

1 <anti_example>Dragon</anti_example>  
2 <anti_example>Phoenix</anti_example>  
3 <anti_example>Unicorn</anti_example>  
4 <anti_example>Griffin</anti_example>  
5 <anti_example>Centaur</anti_example>  
6 <anti_example>Minotaur</anti_example>  
7 <anti_example>Chimera</anti_example>  
8 <anti_example>Kraken</anti_example>  
9 <anti_example>Leviathan</anti_example>  
10 <anti_example>Hydra</anti_example>  
11 <anti_example>Sphinx</anti_example>  
12 <anti_example>Pegasus</anti_example>  
13 <anti_example>Gorgon</anti_example>  
14 <anti_example>Basilisk</anti_example>  
15 <anti_example>Fenrir</anti_example>  
16 <anti_example>Cerberus</anti_example>  
17 <anti_example>Jörmungandr</anti_example>  
18 <anti_example>Roc</anti_example>  
19 <anti_example>Banshee</anti_example>  
20 <anti_example>Yeti</anti_example>
