example_response_360.txt
<example>violin</example>  
<example>cello</example>  
<example>double bass</example>  
<example>viola</example>  

1 <anti_example>guitar</anti_example>  
2 <anti_example>harp</anti_example>  
3 <anti_example>piano</anti_example>  
4 <anti_example>banjo</anti_example>  
5 <anti_example>mandolin</anti_example>  
6 <anti_example>ukulele</anti_example>  
7 <anti_example>lute</anti_example>  
8 <anti_example>sitar</anti_example>  
9 <anti_example>dulcimer</anti_example>  
10 <anti_example>lyre</anti_example>  
11 <anti_example>zither</anti_example>  
12 <anti_example>balalaika</anti_example>  
13 <anti_example>bouzouki</anti_example>  
14 <anti_example>koto</anti_example>  
15 <anti_example>erhu</anti_example>  
16 <anti_example>sarangi</anti_example>  
17 <anti_example>rebab</anti_example>  
18 <anti_example>oud</anti_example>  
19 <anti_example>charango</anti_example>  
20 <anti_example>hurdy-gurdy</anti_example>
