example_response_906.txt
<example>a one-way mirror</example>  
<example>a glass-bottom boat</example>  
<example>a tinted car window</example>  
<example>a lace curtain</example>  

1 <anti_example>a brick wall</anti_example>  
2 <anti_example>a wooden door</anti_example>  
3 <anti_example>a metal fence</anti_example>  
4 <anti_example>a concrete barrier</anti_example>  
5 <anti_example>a paper bag</anti_example>  
6 <anti_example>a cardboard box</anti_example>  
7 <anti_example>a plastic bottle</anti_example>  
8 <anti_example>a ceramic mug</anti_example>  
9 <anti_example>a leather jacket</anti_example>  
10 <anti_example>a wool sweater</anti_example>  
11 <anti_example>a rubber tire</anti_example>  
12 <anti_example>a glass jar</anti_example>  
13 <anti_example>a steel beam</anti_example>  
14 <anti_example>a wooden table</anti_example>  
15 <anti_example>a stone statue</anti_example>  
16 <anti_example>a fabric umbrella</anti_example>  
17 <anti_example>a bamboo mat</anti_example>  
18 <anti_example>a vinyl record</anti_example>  
19 <anti_example>a clay pot</anti_example>  
20 <anti_example>a silk scarf</anti_example>
