example_response_112.txt
<example>a phoenix</example>  
<example>a butterfly</example>  
<example>the lotus flower</example>  
<example>the ouroboros</example>  

1 <anti_example>a clock</anti_example>  
2 <anti_example>a rainbow</anti_example>  
3 <anti_example>a mirror</anti_example>  
4 <anti_example>a compass</anti_example>  
5 <anti_example>a diamond</anti_example>  
6 <anti_example>a mountain</anti_example>  
7 <anti_example>a river</anti_example>  
8 <anti_example>a candle</anti_example>  
9 <anti_example>a tree</anti_example>  
10 <anti_example>a star</anti_example>  
11 <anti_example>a book</anti_example>  
12 <anti_example>a bridge</anti_example>  
13 <anti_example>a key</anti_example>  
14 <anti_example>a feather</anti_example>  
15 <anti_example>a shell</anti_example>  
16 <anti_example>a sword</anti_example>  
17 <anti_example>a crown</anti_example>  
18 <anti_example>a pearl</anti_example>  
19 <anti_example>a wave</anti_example>  
20 <anti_example>a lantern</anti_example>  
