example_response_1458.txt
<example>Salar de Uyuni, Bolivia</example>  
<example>Lake Natron, Tanzania</example>  
<example>Badwater Basin, Death Valley, USA</example>  
<example>Lençóis Maranhenses, Brazil</example>  

1 <anti_example>Grand Canyon, USA</anti_example>  
2 <anti_example>Mount Everest, Nepal</anti_example>  
3 <anti_example>Great Barrier Reef, Australia</anti_example>  
4 <anti_example>Amazon Rainforest, Brazil</anti_example>  
5 <anti_example>Niagara Falls, USA/Canada</anti_example>  
6 <anti_example>Victoria Falls, Zambia/Zimbabwe</anti_example>  
7 <anti_example>Yellowstone National Park, USA</anti_example>  
8 <anti_example>Uluru, Australia</anti_example>  
9 <anti_example>Angel Falls, Venezuela</anti_example>  
10 <anti_example>Galápagos Islands, Ecuador</anti_example>  
11 <anti_example>Serengeti National Park, Tanzania</anti_example>  
12 <anti_example>Antelope Canyon, USA</anti_example>  
13 <anti_example>Mount Kilimanjaro, Tanzania</anti_example>  
14 <anti_example>Yosemite Valley, USA</anti_example>  
15 <anti_example>Great Wall of China, China</anti_example>  
16 <anti_example>Stonehenge, England</anti_example>  
17 <anti_example>Loch Ness, Scotland</anti_example>  
18 <anti_example>Banff National Park, Canada</anti_example>  
19 <anti_example>Patagonia, Argentina/Chile</anti_example>  
20 <anti_example>Blue Lagoon, Iceland</anti_example>  
