example_response_1547.txt
<example>fork</example>  
<example>trident</example>  
<example>garden rake</example>  
<example>tuning fork</example>  

1 <anti_example>spoon</anti_example>  
2 <anti_example>knife</anti_example>  
3 <anti_example>chopsticks</anti_example>  
4 <anti_example>hammer</anti_example>  
5 <anti_example>spatula</anti_example>  
6 <anti_example>ladle</anti_example>  
7 <anti_example>whisk</anti_example>  
8 <anti_example>scissors</anti_example>  
9 <anti_example>axe</anti_example>  
10 <anti_example>crowbar</anti_example>  
11 <anti_example>paintbrush</anti_example>  
12 <anti_example>pencil</anti_example>  
13 <anti_example>umbrella</anti_example>  
14 <anti_example>shovel</anti_example>  
15 <anti_example>tongs</anti_example>  
16 <anti_example>needle</anti_example>  
17 <anti_example>drumstick</anti_example>  
18 <anti_example>baton</anti_example>  
19 <anti_example>golf club</anti_example>  
20 <anti_example>walking stick</anti_example>  
