example_response_1567.txt
<example>sand dune</example>  
<example>ocean wave</example>  
<example>glacier</example>  
<example>river delta</example>  

1 <anti_example>mountain</anti_example>  
2 <anti_example>volcano</anti_example>  
3 <anti_example>coral reef</anti_example>  
4 <anti_example>tree</anti_example>  
5 <anti_example>cloud</anti_example>  
6 <anti_example>lake</anti_example>  
7 <anti_example>island</anti_example>  
8 <anti_example>cave</anti_example>  
9 <anti_example>hill</anti_example>  
10 <anti_example>geyser</anti_example>  
11 <anti_example>iceberg</anti_example>  
12 <anti_example>stalactite</anti_example>  
13 <anti_example>desert</anti_example>  
14 <anti_example>rainforest</anti_example>  
15 <anti_example>waterfall</anti_example>  
16 <anti_example>cliff</anti_example>  
17 <anti_example>plateau</anti_example>  
18 <anti_example>fjord</anti_example>  
19 <anti_example>canyon</anti_example>  
20 <anti_example>archipelago</anti_example>  
