example_response_1615.txt
<example>Loch Ness, Scotland</example>  
<example>Lake Toba, Indonesia</example>  
<example>Lake Titicaca, Peru/Bolivia</example>  
<example>Lake Biwa, Japan</example>  

1 <anti_example>Stonehenge, England</anti_example>  
2 <anti_example>Mount Fuji, Japan</anti_example>  
3 <anti_example>Uluru, Australia</anti_example>  
4 <anti_example>Grand Canyon, USA</anti_example>  
5 <anti_example>Great Wall of China, China</anti_example>  
6 <anti_example>Chichen Itza, Mexico</anti_example>  
7 <anti_example>Christ the Redeemer, Brazil</anti_example>  
8 <anti_example>Colosseum, Italy</anti_example>  
9 <anti_example>Petra, Jordan</anti_example>  
10 <anti_example>Machu Picchu, Peru</anti_example>  
11 <anti_example>Taj Mahal, India</anti_example>  
12 <anti_example>Eiffel Tower, France</anti_example>  
13 <anti_example>Mount Everest, Nepal</anti_example>  
14 <anti_example>Niagara Falls, USA/Canada</anti_example>  
15 <anti_example>Victoria Falls, Zambia/Zimbabwe</anti_example>  
16 <anti_example>Yellowstone National Park, USA</anti_example>  
17 <anti_example>Banff National Park, Canada</anti_example>  
18 <anti_example>Galápagos Islands, Ecuador</anti_example>  
19 <anti_example>Serengeti National Park, Tanzania</anti_example>  
20 <anti_example>Amazon Rainforest, South America</anti_example>  
