example_response_1764.txt
<example>Abacus</example>  
<example>Geoboard</example>  
<example>Protractor</example>  
<example>Number line</example>  

1 <anti_example>Calculator</anti_example>  
2 <anti_example>Ruler</anti_example>  
3 <anti_example>Whiteboard</anti_example>  
4 <anti_example>Textbook</anti_example>  
5 <anti_example>Chalkboard</anti_example>  
6 <anti_example>Smartboard</anti_example>  
7 <anti_example>Graph paper</anti_example>  
8 <anti_example>Compass</anti_example>  
9 <anti_example>Pencil</anti_example>  
10 <anti_example>Eraser</anti_example>  
11 <anti_example>Notebook</anti_example>  
12 <anti_example>Highlighter</anti_example>  
13 <anti_example>Binder</anti_example>  
14 <anti_example>Folder</anti_example>  
15 <anti_example>Glue stick</anti_example>  
16 <anti_example>Scissors</anti_example>  
17 <anti_example>Stapler</anti_example>  
18 <anti_example>Paperclip</anti_example>  
19 <anti_example>Backpack</anti_example>  
20 <anti_example>Desk</anti_example>  
