example_response_1894.txt
<example>Thames, New Zealand</example>  
<example>Seine, Canada</example>  
<example>Amazon, United States</example>  
<example>Danube, Australia</example>  

1 <anti_example>Hudson, New York</anti_example>  
2 <anti_example>Mississippi, United States</anti_example>  
3 <anti_example>Yangtze, China</anti_example>  
4 <anti_example>Ganges, India</anti_example>  
5 <anti_example>Nile, Egypt</anti_example>  
6 <anti_example>Rhine, Germany</anti_example>  
7 <anti_example>Volga, Russia</anti_example>  
8 <anti_example>Amazon, Brazil</anti_example>  
9 <anti_example>Thames, England</anti_example>  
10 <anti_example>Seine, France</anti_example>  
11 <anti_example>Danube, Europe</anti_example>  
12 <anti_example>Yarra, Australia</anti_example>  
13 <anti_example>Loire, France</anti_example>  
14 <anti_example>Colorado, United States</anti_example>  
15 <anti_example>Indus, Pakistan</anti_example>  
16 <anti_example>Tagus, Spain</anti_example>  
17 <anti_example>Po, Italy</anti_example>  
18 <anti_example>Elbe, Germany</anti_example>  
19 <anti_example>Shannon, Ireland</anti_example>  
20 <anti_example>Fraser, Canada</anti_example>  
