example_response_172.txt
<example>a drum</example>
<example>a pair of gloves</example>
<example>a jacket</example>
<example>a bag</example>

1 <anti_example>a wooden chair</anti_example>
2 <anti_example>a cotton shirt</anti_example>
3 <anti_example>a silk scarf</anti_example>
4 <anti_example>a metal helmet</anti_example>
5 <anti_example>a plastic bottle</anti_example>
6 <anti_example>a glass vase</anti_example>
7 <anti_example>a ceramic bowl</anti_example>
8 <anti_example>a woolen sweater</anti_example>
9 <anti_example>a linen tablecloth</anti_example>
10 <anti_example>a nylon rope</anti_example>
11 <anti_example>a rubber tire</anti_example>
12 <anti_example>a paper notebook</anti_example>
13 <anti_example>a bamboo flute</anti_example>
14 <anti_example>a stone sculpture</anti_example>
15 <anti_example>a clay pot</anti_example>
16 <anti_example>a polyester curtain</anti_example>
17 <anti_example>a velvet cushion</anti_example>
18 <anti_example>a denim jeans</anti_example>
19 <anti_example>a canvas tent</anti_example>
20 <anti_example>a leather belt</anti_example>
