example_response_1820.txt
<example>A woven basket</example>
<example>A wooden lattice screen</example>
<example>A macrame plant hanger</example>
<example>A bamboo trellis</example>

1 <anti_example>A steel sculpture</anti_example>
2 <anti_example>A concrete wall</anti_example>
3 <anti_example>A glass vase</anti_example>
4 <anti_example>A ceramic pot</anti_example>
5 <anti_example>A metal gate</anti_example>
6 <anti_example>A plastic chair</anti_example>
7 <anti_example>A fabric curtain</anti_example>
8 <anti_example>A stone fountain</anti_example>
9 <anti_example>A wooden table</anti_example>
10 <anti_example>A leather couch</anti_example>
11 <anti_example>A rubber mat</anti_example>
12 <anti_example>A paper lantern</anti_example>
13 <anti_example>A canvas painting</anti_example>
14 <anti_example>A bronze statue</anti_example>
15 <anti_example>A clay tile</anti_example>
16 <anti_example>A marble countertop</anti_example>
17 <anti_example>A silk scarf</anti_example>
18 <anti_example>A wool rug</anti_example>
19 <anti_example>A copper pipe</anti_example>
20 <anti_example>A plexiglass shelf</anti_example>
