example_response_200.txt
<example>The pipa</example>
<example>The biwa</example>
<example>The dan bau</example>
<example>The shamisen</example>

1 <anti_example>A guitar</anti_example>
2 <anti_example>A violin</anti_example>
3 <anti_example>A cello</anti_example>
4 <anti_example>A banjo</anti_example>
5 <anti_example>A mandolin</anti_example>
6 <anti_example>A sitar</anti_example>
7 <anti_example>A lute</anti_example>
8 <anti_example>A harp</anti_example>
9 <anti_example>A ukulele</anti_example>
10 <anti_example>A bass</anti_example>
11 <anti_example>A dulcimer</anti_example>
12 <anti_example>A zither</anti_example>
13 <anti_example>A koto</anti_example>
14 <anti_example>A erhu</anti_example>
15 <anti_example>A guzheng</anti_example>
16 <anti_example>A yangqin</anti_example>
17 <anti_example>A sanxian</anti_example>
18 <anti_example>A ruan</anti_example>
19 <anti_example>A konghou</anti_example>
20 <anti_example>A gayageum</anti_example>
