example_response_1071.txt
<example>maracas</example>
<example>polyrhythmic drums</example>
<example>claves</example>
<example>agogo bells</example>

1 <anti_example>piano</anti_example>
2 <anti_example>violin</anti_example>
3 <anti_example>flute</anti_example>
4 <anti_example>tambourine</anti_example>
5 <anti_example>triangle</anti_example>
6 <anti_example>xylophone</anti_example>
7 <anti_example>guitar</anti_example>
8 <anti_example>clarinet</anti_example>
9 <anti_example>cymbals</anti_example>
10 <anti_example>harmonica</anti_example>
11 <anti_example>accordion</anti_example>
12 <anti_example>trumpet</anti_example>
13 <anti_example>harp</anti_example>
14 <anti_example>tuba</anti_example>
15 <anti_example>saxophone</anti_example>
16 <anti_example>bassoon</anti_example>
17 <anti_example>oboe</anti_example>
18 <anti_example>cello</anti_example>
19 <anti_example>timpani</anti_example>
20 <anti_example>gong</anti_example>
