example_response_148.txt
<example>Golden Gate Bridge cables</example>
<example>Rock climbing harness</example>
<example>Circus trapeze rigging</example>
<example>Spider web</example>

1 <anti_example>Roman arch</anti_example>
2 <anti_example>Steel I-beam</anti_example>
3 <anti_example>Stone column</anti_example>
4 <anti_example>Concrete dam</anti_example>
5 <anti_example>Brick wall</anti_example>
6 <anti_example>Flying buttress</anti_example>
7 <anti_example>Metal scaffold</anti_example>
8 <anti_example>Wooden post</anti_example>
9 <anti_example>Support bracket</anti_example>
10 <anti_example>Foundation slab</anti_example>
11 <anti_example>Load-bearing wall</anti_example>
12 <anti_example>Steel truss</anti_example>
13 <anti_example>Granite pillar</anti_example>
14 <anti_example>Retaining wall</anti_example>
15 <anti_example>Concrete pier</anti_example>
16 <anti_example>Metal strut</anti_example>
17 <anti_example>Stone abutment</anti_example>
18 <anti_example>Support beam</anti_example>
19 <anti_example>Concrete pillar</anti_example>
20 <anti_example>Steel frame</anti_example>
