example_response_1706.txt
<example>Lady Gaga</example>
<example>Andy Warhol</example>
<example>RuPaul</example>
<example>David Bowie</example>

1 <anti_example>Madonna</anti_example>
2 <anti_example>Salvador Dali</anti_example>
3 <anti_example>Marilyn Monroe</anti_example>
4 <anti_example>Elvis Presley</anti_example>
5 <anti_example>Prince</anti_example>
6 <anti_example>Pablo Picasso</anti_example>
7 <anti_example>Michael Jackson</anti_example>
8 <anti_example>Grace Jones</anti_example>
9 <anti_example>Oscar Wilde</anti_example>
10 <anti_example>Freddie Mercury</anti_example>
11 <anti_example>Marcel Duchamp</anti_example>
12 <anti_example>Boy George</anti_example>
13 <anti_example>Jean-Michel Basquiat</anti_example>
14 <anti_example>Elton John</anti_example>
15 <anti_example>Keith Haring</anti_example>
16 <anti_example>Vivienne Westwood</anti_example>
17 <anti_example>John Waters</anti_example>
18 <anti_example>Annie Lennox</anti_example>
19 <anti_example>Jeff Koons</anti_example>
20 <anti_example>Leigh Bowery</anti_example>
