example_response_689.txt
<example>Wakanda</example>
<example>Shangri-La</example>
<example>Laputa</example>
<example>El Dorado</example>

1 <anti_example>Atlantis</anti_example>
2 <anti_example>Hogwarts</anti_example>
3 <anti_example>Narnia</anti_example>
4 <anti_example>Middle-earth</anti_example>
5 <anti_example>Westeros</anti_example>
6 <anti_example>Asgard</anti_example>
7 <anti_example>Oz</anti_example>
8 <anti_example>Gotham City</anti_example>
9 <anti_example>Metropolis</anti_example>
10 <anti_example>Neverland</anti_example>
11 <anti_example>R'lyeh</anti_example>
12 <anti_example>Wonderland</anti_example>
13 <anti_example>Pandora</anti_example>
14 <anti_example>Lilliput</anti_example>
15 <anti_example>Camelot</anti_example>
16 <anti_example>Mount Olympus</anti_example>
17 <anti_example>Avalon</anti_example>
18 <anti_example>Xanadu</anti_example>
19 <anti_example>Brigadoon</anti_example>
20 <anti_example>Themyscira</anti_example>
