example_response_884.txt
<example>Seal Beach, California - winter surfing</example>
<example>Beluga Point, Alaska - spring whale watching</example>
<example>Walrus Island, Alaska - summer breeding grounds</example>
<example>Dolphin Bay, Florida - fall migration viewing</example>

1 <anti_example>Shark Bay, Australia</anti_example>
2 <anti_example>Penguin Island, Western Australia</anti_example>
3 <anti_example>Turtle Beach, Hawaii</anti_example>
4 <anti_example>Whale Rock, Rhode Island</anti_example>
5 <anti_example>Sea Lion Caves, Oregon</anti_example>
6 <anti_example>Manatee Springs, Florida</anti_example>
7 <anti_example>Otter Creek, Vermont</anti_example>
8 <anti_example>Pelican Bay, California</anti_example>
9 <anti_example>Salmon River, Idaho</anti_example>
10 <anti_example>Dolphin Coast, South Africa</anti_example>
11 <anti_example>Seal Harbor, Maine</anti_example>
12 <anti_example>Whale Beach, Australia</anti_example>
13 <anti_example>Porpoise Point, Florida</anti_example>
14 <anti_example>Narwhal Bay, Canada</anti_example>
15 <anti_example>Dugong Bay, Australia</anti_example>
16 <anti_example>Seal Rock, Oregon</anti_example>
17 <anti_example>Walrus Cove, Greenland</anti_example>
18 <anti_example>Orca Island, Alaska</anti_example>
19 <anti_example>Beluga Lake, Alaska</anti_example>
20 <anti_example>Sea Lion Point, California</anti_example>
