example_response_1483.txt
<example>Catacombs of Paris, France</example>  
<example>Valley of the Kings, Egypt</example>  
<example>Newgrange, Ireland</example>  
<example>Lascaux Caves, France</example>  

1 <anti_example>Stonehenge, England</anti_example>  
2 <anti_example>Machu Picchu, Peru</anti_example>  
3 <anti_example>Angkor Wat, Cambodia</anti_example>  
4 <anti_example>Petra, Jordan</anti_example>  
5 <anti_example>Chichen Itza, Mexico</anti_example>  
6 <anti_example>Great Wall of China</anti_example>  
7 <anti_example>Colosseum, Italy</anti_example>  
8 <anti_example>Easter Island statues</anti_example>  
9 <anti_example>Acropolis of Athens, Greece</anti_example>  
10 <anti_example>Taj Mahal, India</anti_example>  
11 <anti_example>Pompeii, Italy</anti_example>  
12 <anti_example>Teotihuacan, Mexico</anti_example>  
13 <anti_example>Borobudur, Indonesia</anti_example>  
14 <anti_example>Alhambra, Spain</anti_example>  
15 <anti_example>Hagia Sophia, Turkey</anti_example>  
16 <anti_example>Moai statues, Easter Island</anti_example>  
17 <anti_example>Göbekli Tepe, Turkey</anti_example>  
18 <anti_example>Palmyra, Syria</anti_example>  
19 <anti_example>Bagan, Myanmar</anti_example>  
20 <anti_example>Mesa Verde, USA</anti_example>
