example_response_1430.txt
<example>Jadeite</example>
<example>Hematite</example>
<example>Cinnabar</example>
<example>Iron pyrite</example>

1 <anti_example>Gold</anti_example>
2 <anti_example>Silver</anti_example>
3 <anti_example>Obsidian</anti_example>
4 <anti_example>Quartz</example>
5 <anti_example>Turquoise</example>
6 <anti_example>Malachite</example>
7 <anti_example>Azurite</example>
8 <anti_example>Galena</anti_example>
9 <anti_example>Cocoa beans</anti_example>
10 <anti_example>Textiles</anti_example>
11 <anti_example>Feathers</anti_example>
12 <anti_example>Shells</anti_example>
13 <anti_example>Salt</anti_example>
14 <anti_example>Copper</anti_example>
15 <anti_example>Chalcopyrite</anti_example>
16 <anti_example>Mica</anti_example>
17 <anti_example>Granite</anti_example>
18 <anti_example>Basalt</anti_example>
19 <anti_example>Flint</anti_example>
20 <anti_example>Amber</anti_example>
