example_response_1601.txt
<example>compass</example>  
<example>magnetometer</example>  
<example>gyrocompass</example>  
<example>fluxgate sensor</example>  

1 <anti_example>GPS device</anti_example>  
2 <anti_example>accelerometer</anti_example>  
3 <anti_example>barometer</anti_example>  
4 <anti_example>altimeter</anti_example>  
5 <anti_example>sextant</anti_example>  
6 <anti_example>inclinometer</anti_example>  
7 <anti_example>gyroscope</anti_example>  
8 <anti_example>sonar</anti_example>  
9 <anti_example>radar</anti_example>  
10 <anti_example>thermometer</anti_example>  
11 <anti_example>anemometer</anti_example>  
12 <anti_example>odometer</anti_example>  
13 <anti_example>tachometer</anti_example>  
14 <anti_example>speedometer</anti_example>  
15 <anti_example>hydrometer</anti_example>  
16 <anti_example>pedometer</anti_example>  
17 <anti_example>voltmeter</anti_example>  
18 <anti_example>ammeter</anti_example>  
19 <anti_example>spectrometer</anti_example>  
20 <anti_example>barograph</anti_example>  
