example_response_1794.txt
<example>olive</example>  
<example>sesame</example>  
<example>flax</example>  
<example>castor bean</example>  

1 <anti_example>sunflower</anti_example>  
2 <anti_example>coconut</anti_example>  
3 <anti_example>peanut</anti_example>  
4 <anti_example>corn</anti_example>  
5 <anti_example>soybean</anti_example>  
6 <anti_example>palm</anti_example>  
7 <anti_example>grapeseed</anti_example>  
8 <anti_example>canola</anti_example>  
9 <anti_example>almond</anti_example>  
10 <anti_example>walnut</anti_example>  
11 <anti_example>hazelnut</anti_example>  
12 <anti_example>pumpkin seed</anti_example>  
13 <anti_example>avocado</anti_example>  
14 <anti_example>hemp</anti_example>  
15 <anti_example>macadamia</anti_example>  
16 <anti_example>pistachio</anti_example>  
17 <anti_example>chia</anti_example>  
18 <anti_example>mustard</anti_example>  
19 <anti_example>cottonseed</anti_example>  
20 <anti_example>rice bran</anti_example>  
