example_response_1847.txt
<example>Charlie Chaplin</example>  
<example>Buster Keaton</example>  
<example>Harold Lloyd</example>  
<example>Roscoe "Fatty" Arbuckle</example>  

1 <anti_example>Laurel and Hardy</anti_example>  
2 <anti_example>Harry Langdon</anti_example>  
3 <anti_example>Stan Laurel</anti_example>  
4 <anti_example>Oliver Hardy</anti_example>  
5 <anti_example>Ben Turpin</anti_example>  
6 <anti_example>Mabel Normand</anti_example>  
7 <anti_example>Charlie Chase</anti_example>  
8 <anti_example>Max Linder</anti_example>  
9 <anti_example>Edna Purviance</anti_example>  
10 <anti_example>Mary Pickford</anti_example>  
11 <anti_example>Douglas Fairbanks</anti_example>  
12 <anti_example>Rudolph Valentino</anti_example>  
13 <anti_example>Gloria Swanson</anti_example>  
14 <anti_example>Clara Bow</anti_example>  
15 <anti_example>Lon Chaney</anti_example>  
16 <anti_example>John Barrymore</anti_example>  
17 <anti_example>Greta Garbo</anti_example>  
18 <anti_example>Joan Crawford</anti_example>  
19 <anti_example>Norma Talmadge</anti_example>  
20 <anti_example>Constance Talmadge</anti_example>  
