example_response_487.txt
<example>Sarod</example>  
<example>Esraj</example>  
<example>Hardanger fiddle</example>  
<example>Nyckelharpa</example>  

1 <anti_example>Violin</anti_example>  
2 <anti_example>Cello</anti_example>  
3 <anti_example>Guitar</anti_example>  
4 <anti_example>Piano</anti_example>  
5 <anti_example>Harp</anti_example>  
6 <anti_example>Sitar</anti_example>  
7 <anti_example>Banjo</anti_example>  
8 <anti_example>Double bass</anti_example>  
9 <anti_example>Ukulele</anti_example>  
10 <anti_example>Mandolin</anti_example>  
11 <anti_example>Viola</anti_example>  
12 <anti_example>Hurdy-gurdy</anti_example>  
13 <anti_example>Harmonium</anti_example>  
14 <anti_example>Accordion</anti_example>  
15 <anti_example>Bagpipes</anti_example>  
16 <anti_example>Clarinet</anti_example>  
17 <anti_example>Flute</anti_example>  
18 <anti_example>Trumpet</anti_example>  
19 <anti_example>Oboe</anti_example>  
20 <anti_example>Saxophone</anti_example>  
