example_response_1796.txt
<example>Troy, New York</example>
<example>Odessa, Texas</example>
<example>Phoenix, Arizona</example>
<example>Athens, Georgia</example>

1 <anti_example>Paris, France</anti_example>
2 <anti_example>Rome, Italy</anti_example>
3 <anti_example>London, England</anti_example>
4 <anti_example>Tokyo, Japan</anti_example>
5 <anti_example>New York, USA</anti_example>
6 <anti_example>Sydney, Australia</anti_example>
7 <anti_example>Cairo, Egypt</anti_example>
8 <anti_example>Moscow, Russia</anti_example>
9 <anti_example>Beijing, China</anti_example>
10 <anti_example>Rio de Janeiro, Brazil</anti_example>
11 <anti_example>Berlin, Germany</anti_example>
12 <anti_example>Madrid, Spain</anti_example>
13 <anti_example>Delhi, India</anti_example>
14 <anti_example>Mexico City, Mexico</anti_example>
15 <anti_example>Johannesburg, South Africa</anti_example>
16 <anti_example>Toronto, Canada</anti_example>
17 <anti_example>Singapore</anti_example>
18 <anti_example>Dubai, UAE</anti_example>
19 <anti_example>Amsterdam, Netherlands</anti_example>
20 <anti_example>Stockholm, Sweden</anti_example>
