example_response_1958.txt
<example>Gold Beach, Oregon</example>
<example>Silver Beach, Michigan</example>
<example>Pearl Beach, Victoria, Australia</example>
<example>Coral Beach, Cyprus</example>

1 <anti_example>Copper Beach, New York</anti_example>
2 <anti_example>Iron Beach, Brazil</anti_example>
3 <anti_example>Stone Beach, England</anti_example>
4 <anti_example>Sandstone Beach, California</anti_example>
5 <anti_example>Shell Beach, California</anti_example>
6 <anti_example>Driftwood Beach, Georgia</anti_example>
7 <anti_example>Pebble Beach, California</anti_example>
8 <anti_example>Glass Beach, California</anti_example>
9 <anti_example>Black Sand Beach, Iceland</anti_example>
10 <anti_example>White Sand Beach, Thailand</anti_example>
11 <anti_example>Red Sand Beach, Hawaii</anti_example>
12 <anti_example>Pink Sand Beach, Bahamas</anti_example>
13 <anti_example>Green Sand Beach, Hawaii</anti_example>
14 <anti_example>Volcanic Beach, Italy</anti_example>
15 <anti_example>Coral Sand Beach, Maldives</anti_example>
16 <anti_example>Seashell Beach, Florida</anti_example>
17 <anti_example>Rocky Beach, Maine</anti_example>
18 <anti_example>Cliff Beach, Australia</anti_example>
19 <anti_example>Sandy Beach, Hawaii</anti_example>
20 <anti_example>Shingle Beach, England</anti_example>
