example_response_214.txt
<example>an oak barrel used for aging whiskey</example>
<example>a cherry wood cask for maturing rum</example>
<example>a French oak vat for aging wine</example>
<example>an acacia wood barrel for aging brandy</example>

1 <anti_example>a glass bottle for storing wine</anti_example>
2 <anti_example>a stainless steel tank for fermenting beer</anti_example>
3 <anti_example>a plastic container for holding vodka</anti_example>
4 <anti_example>a ceramic jug for storing sake</anti_example>
5 <anti_example>a wooden box for packaging tequila</anti_example>
6 <anti_example>a metal keg for dispensing beer</anti_example>
7 <anti_example>a bamboo vessel for serving soju</anti_example>
8 <anti_example>a clay pot for fermenting mead</anti_example>
9 <anti_example>a copper still for distilling gin</anti_example>
10 <anti_example>a glass carboy for fermenting cider</anti_example>
11 <anti_example>a wooden crate for shipping wine bottles</anti_example>
12 <anti_example>a plastic barrel for storing water</anti_example>
13 <anti_example>a metal canister for holding oil</anti_example>
14 <anti_example>a glass decanter for serving whiskey</anti_example>
15 <anti_example>a wooden spoon for stirring cocktails</anti_example>
16 <anti_example>a ceramic vase for displaying flowers</anti_example>
17 <anti_example>a metal bucket for carrying ice</anti_example>
18 <anti_example>a plastic tub for soaking grains</anti_example>
19 <anti_example>a glass jar for pickling vegetables</anti_example>
20 <anti_example>a wooden tray for serving cheese</anti_example>
