example_response_599.txt
<example>Denia, Spain</example>
<example>Cartagena, Spain</example>
<example>Almuñécar, Spain</example>
<example>Empúries, Spain</example>

1 <anti_example>Santorini, Greece</anti_example>
2 <anti_example>Nice, France</anti_example>
3 <anti_example>Barcelona, Spain</anti_example>
4 <anti_example>Portofino, Italy</anti_example>
5 <anti_example>Dubrovnik, Croatia</anti_example>
6 <anti_example>Monte Carlo, Monaco</anti_example>
7 <anti_example>Mykonos, Greece</anti_example>
8 <anti_example>Amalfi, Italy</anti_example>
9 <anti_example>Malaga, Spain</anti_example>
10 <anti_example>Ibiza, Spain</anti_example>
11 <anti_example>Valencia, Spain</anti_example>
12 <anti_example>Marbella, Spain</anti_example>
13 <anti_example>St. Tropez, France</anti_example>
14 <anti_example>Cannes, France</anti_example>
15 <anti_example>Seville, Spain</anti_example>
16 <anti_example>Capri, Italy</anti_example>
17 <anti_example>Majorca, Spain</anti_example>
18 <anti_example>Positano, Italy</anti_example>
19 <anti_example>Corfu, Greece</anti_example>
20 <anti_example>Rimini, Italy</anti_example>
