example_response_735.txt
<example>Enigma</example>
<example>Apollo</example>
<example>Da Vinci</example>
<example>Odyssey</example>

1 <anti_example>Thunder</anti_example>
2 <anti_example>Eclipse</anti_example>
3 <anti_example>Horizon</anti_example>
4 <anti_example>Neptune</anti_example>
5 <anti_example>Genesis</anti_example>
6 <anti_example>Phantom</anti_example>
7 <anti_example>Comet</anti_example>
8 <anti_example>Galaxy</anti_example>
9 <anti_example>Storm</anti_example>
10 <anti_example>Blizzard</anti_example>
11 <anti_example>Firefly</anti_example>
12 <anti_example>Twilight</anti_example>
13 <anti_example>Serenity</anti_example>
14 <anti_example>Oracle</anti_example>
15 <anti_example>Tempest</anti_example>
16 <anti_example>Zephyr</anti_example>
17 <anti_example>Nova</anti_example>
18 <anti_example>Spectre</anti_example>
19 <anti_example>Harrier</anti_example>
20 <anti_example>Meridian</anti_example>
