example_response_787.txt
<example>Coral reefs</example>
<example>Skin</example>
<example>Liver</example>
<example>Forest ecosystems</example>

1 <anti_example>Volcanoes</anti_example>
2 <anti_example>Hurricanes</anti_example>
3 <anti_example>Earthquakes</anti_example>
4 <anti_example>Tsunamis</anti_example>
5 <anti_example>Glaciers</anti_example>
6 <anti_example>Rivers</anti_example>
7 <anti_example>Mountains</anti_example>
8 <anti_example>Oceans</anti_example>
9 <anti_example>Clouds</anti_example>
10 <anti_example>Deserts</anti_example>
11 <anti_example>Icebergs</anti_example>
12 <anti_example>Tornadoes</anti_example>
13 <anti_example>Blizzards</anti_example>
14 <anti_example>Monsoons</anti_example>
15 <anti_example>Droughts</anti_example>
16 <anti_example>Floods</anti_example>
17 <anti_example>Landslides</anti_example>
18 <anti_example>Avalanches</anti_example>
19 <anti_example>Wildfires</anti_example>
20 <anti_example>Thunderstorms</anti_example>
