example_response_949.txt
<example>Olduvai Gorge, Tanzania</example>
<example>Dmanisi, Georgia</example>
<example>Swartkrans, South Africa</example>
<example>Atapuerca, Spain</example>

1 <anti_example>Lascaux Cave, France</anti_example>
2 <anti_example>Stonehenge, England</anti_example>
3 <anti_example>Pyramids of Giza, Egypt</anti_example>
4 <anti_example>Terracotta Army, China</anti_example>
5 <anti_example>Machu Picchu, Peru</anti_example>
6 <anti_example>Chichen Itza, Mexico</anti_example>
7 <anti_example>Angkor Wat, Cambodia</anti_example>
8 <anti_example>Acropolis, Greece</anti_example>
9 <anti_example>Petra, Jordan</anti_example>
10 <anti_example>Colosseum, Italy</anti_example>
11 <anti_example>Easter Island, Chile</anti_example>
12 <anti_example>Great Wall of China, China</anti_example>
13 <anti_example>Moai Statues, Easter Island</anti_example>
14 <anti_example>Taj Mahal, India</anti_example>
15 <anti_example>Parthenon, Greece</anti_example>
16 <anti_example>Hadrian's Wall, England</anti_example>
17 <anti_example>Stone Circles of Senegambia, Senegal</anti_example>
18 <anti_example>Nazca Lines, Peru</anti_example>
19 <anti_example>Borobudur, Indonesia</anti_example>
20 <anti_example>Valley of the Kings, Egypt</anti_example>
