example_response_994.txt
<example>Gothic cathedral vaulted ceiling</example>
<example>Sydney Opera House shells</example>
<example>Guggenheim Museum spiral</example>
<example>St. Louis Gateway Arch</example>

1 <anti_example>concrete highway barrier</anti_example>
2 <anti_example>glass skyscraper facade</anti_example>
3 <anti_example>wooden garden trellis</anti_example>
4 <anti_example>stone garden wall</anti_example>
5 <anti_example>steel support beam</anti_example>
6 <anti_example>brick chimney stack</anti_example>
7 <anti_example>aluminum window frame</anti_example>
8 <anti_example>marble column</anti_example>
9 <anti_example>copper roof tiles</anti_example>
10 <anti_example>granite foundation blocks</anti_example>
11 <anti_example>wrought iron gate</anti_example>
12 <anti_example>ceramic floor tiles</anti_example>
13 <anti_example>stained glass window</anti_example>
14 <anti_example>wooden door frame</anti_example>
15 <anti_example>concrete foundation slab</anti_example>
16 <anti_example>metal staircase railing</anti_example>
17 <anti_example>slate roof shingles</anti_example>
18 <anti_example>glass skylight panel</anti_example>
19 <anti_example>stone garden path</anti_example>
20 <anti_example>wooden deck boards</anti_example>
