example_response_999.txt
<example>truncated icosahedron</example>
<example>cuboctahedron</example>
<example>rhombicuboctahedron</example>
<example>great rhombicosidodecahedron</example>

1 <anti_example>square</anti_example>
2 <anti_example>pentagon</anti_example>
3 <anti_example>hexagon</anti_example>
4 <anti_example>octagon</anti_example>
5 <anti_example>triangle</anti_example>
6 <anti_example>circle</anti_example>
7 <anti_example>cube</anti_example>
8 <anti_example>sphere</anti_example>
9 <anti_example>cylinder</anti_example>
10 <anti_example>cone</anti_example>
11 <anti_example>tetrahedron</anti_example>
12 <anti_example>dodecahedron</anti_example>
13 <anti_example>icosahedron</anti_example>
14 <anti_example>pyramid</anti_example>
15 <anti_example>prism</anti_example>
16 <anti_example>torus</anti_example>
17 <anti_example>ellipsoid</anti_example>
18 <anti_example>parallelogram</anti_example>
19 <anti_example>rhombus</anti_example>
20 <anti_example>trapezoid</anti_example>
